segment_id,ndvi,vegetation_level,risk_category
240,0.4715943069010884,Medium,Medium
241,0.44188280499519694,Medium,Low
242,0.5639611650485437,Medium,Medium
243,0.479467758444217,Medium,Medium
244,0.37471917914532427,Medium,Low
245,0.31816828946808956,Medium,Low
246,0.46321192862380833,Medium,Low
247,0.41066098081023455,Medium,Low
248,0.3549982056700825,Medium,Low
249,0.39822134387351776,Medium,Low
250,0.42305738953783645,Medium,Medium
251,0.35810662971336876,Medium,Low
252,0.24215916364412204,Low,Low
253,0.5570210346787948,Medium,Medium
254,0.37488762361402456,Medium,Medium
255,0.41323594510845507,Medium,Low
256,0.587708066581306,Medium,Medium
257,0.3952267303102625,Medium,Low
258,0.3831660864222814,Medium,Medium
259,0.4404466501240694,Medium,Low
260,0.2903681290973273,Low,Low
261,0.44421906693711966,Medium,Low
262,0.44752428334517885,Medium,Low
263,0.4865338645418326,Medium,Medium
264,0.31731935370290676,Medium,Low
265,0.39738915676819947,Medium,Medium
266,0.4246362323669888,Medium,Low
267,0.4297635605006954,Medium,Low
268,0.48182521268368134,Medium,Medium
269,0.517493251468798,Medium,Medium
270,0.4082469254883048,Medium,Medium
271,0.37218487333305617,Medium,Low
272,0.38807815978233984,Medium,Low
273,0.3432321928125672,Medium,Low
274,0.36358180290481334,Medium,Low
275,0.43551565579154805,Medium,Medium
276,0.4026310772163965,Medium,Low
277,0.22701856407962426,Low,Low
278,0.45975365224863934,Medium,Low
279,0.39584728734092434,Medium,Low
280,0.44454628780934924,Medium,Low
281,0.49907137171663574,Medium,Low
282,0.3242219660793677,Medium,Low
283,0.40430820215410107,Medium,Low
284,0.5437021388962239,Medium,Medium
285,0.6640589047399907,High,High
286,0.36507936507936506,Medium,Low
287,0.2924522392734106,Low,Low
288,0.43389673535540635,Medium,Medium
289,0.440279394644936,Medium,Low
290,0.2950004466545574,Low,Low
291,0.32618762682761854,Medium,Low
292,0.47702876771146413,Medium,Low
293,0.4467005076142132,Medium,Low
294,0.5071303126097647,Medium,Medium
295,0.5825220738057505,Medium,Medium
296,0.483554933519944,Medium,High
297,0.4247318456417211,Medium,Medium
298,0.48890347997373607,Medium,Low
299,0.46814781228746316,Medium,Medium
300,0.38342220067862337,Medium,Low
301,0.1818634778276034,Low,Low
302,0.4143341059012301,Medium,Low
303,0.5072729655353164,Medium,Low
304,0.31942125765164164,Medium,Low
305,0.400990099009901,Medium,Medium
306,0.6042267050912584,High,Medium
307,0.351921274601687,Medium,Low
308,0.5122925246474479,Medium,Medium
309,0.5042090916379378,Medium,Medium
310,0.4649337910740559,Medium,Low
311,0.43200962695547535,Medium,Medium
312,0.4974840230153506,Medium,Medium
313,0.4373234846839018,Medium,Low
314,0.37437456457027046,Medium,Low
315,0.36156052782558806,Medium,Low
316,0.45635459068294887,Medium,Low
317,0.45248012116622494,Medium,Low
318,0.46218487394957986,Medium,Low
319,0.365334111467756,Medium,Low
320,0.33140543666859457,Medium,Low
321,0.3143369979807045,Medium,Low
322,0.4323557237464522,Medium,Low
323,0.5114068441064639,Medium,Medium
324,0.3806294557468266,Medium,Low
325,0.3564036222509702,Medium,Low
326,0.4626325316783036,Medium,Low
327,0.650965774313792,High,Medium
328,0.30638852672750977,Medium,Low
329,0.3706422018348624,Medium,Low
330,0.41623200500730234,Medium,Medium
331,0.3638914873713751,Medium,Low
332,0.47674858223062383,Medium,Low
333,0.32778306374881067,Medium,Low
334,0.4737999376012123,Medium,Medium
335,0.5992767967081781,Medium,Medium
336,0.5426322693484915,Medium,Medium
337,0.4322844907838391,Medium,Medium
338,0.417094407846886,Medium,Low
339,0.46834264432029793,Medium,Medium
340,0.4733994589720469,Medium,Low
341,0.42355057423550574,Medium,Low
342,0.4431764146457442,Medium,Low
343,0.5368291890721426,Medium,Medium
344,0.47544253303415607,Medium,Medium
345,0.37690939379394073,Medium,Medium
346,0.46349967313140117,Medium,Low
347,0.4369807737953952,Medium,Low
348,0.52981220657277,Medium,Medium
349,0.34671470235031737,Medium,Low
350,0.4151970389723492,Medium,Medium
351,0.5536349771225216,Medium,Medium
352,0.6594626865671642,High,High
353,0.2612137203166227,Low,Low
354,0.32983468905799,Medium,Low
355,0.3860607384749836,Medium,Low
356,0.5745126115210927,Medium,Medium
357,0.35288073974551487,Medium,Low
358,0.41866576248198695,Medium,Low
359,0.4302678120262759,Medium,Low
360,0.513722957701001,Medium,Medium
361,0.3169573988370713,Medium,Low
362,0.4668183541903678,Medium,Low
363,0.5205880028451751,Medium,Low
364,0.43522960932145305,Medium,Low
365,0.4049266052028634,Medium,Medium
366,0.42409699419045216,Medium,Low
367,0.40597897184941134,Medium,Low
368,0.2517725924970994,Low,Low
369,0.4221248630887185,Medium,Low
370,-0.33748443337484435,Low,Low
371,0.3688978359335682,Medium,Low
372,0.39858823529411763,Medium,Low
373,0.4370189743198964,Medium,Low
374,0.4416407367871175,Medium,Medium
375,0.43097758051667234,Medium,Medium
376,0.45277296360485264,Medium,Low
377,0.39915325994919565,Medium,Low
378,0.44413750767341925,Medium,Low
379,0.3950285522337924,Medium,Low
380,0.5056713268266948,Medium,Medium
381,0.4563855421686747,Medium,Low
382,0.4620706396407331,Medium,Low
383,0.47559007024126354,Medium,Low
384,0.420208009788696,Medium,Low
385,0.42575520380356,Medium,Low
386,0.4728901461574729,Medium,Medium
387,0.5079069767441861,Medium,Medium
388,0.2977478276290122,Low,Low
389,0.3725396636049147,Medium,Low
390,0.3595744680851064,Medium,Low
391,0.4582030719043088,Medium,Medium
392,0.39524550099977784,Medium,Low
393,0.3696612665684831,Medium,Low
394,0.3551901543427822,Medium,Low
395,0.44836025452765543,Medium,Medium
396,0.4236658932714617,Medium,Low
397,0.35265901981230446,Medium,Low
398,0.4431045411505083,Medium,Low
399,0.4900692840646651,Medium,Low
400,0.4151260504201681,Medium,Low
401,0.4664307045680788,Medium,Low
402,0.4943531520764864,Medium,Medium
403,0.39207874384813685,Medium,Low
404,0.40506422018348626,Medium,Low
405,0.3027574141058529,Medium,Low
406,0.30046852719494804,Medium,Low
407,0.6388083922568679,High,Medium
408,0.19618882633174534,Low,Low
409,0.2802373345504336,Low,Low
410,0.5420935412026726,Medium,Low
411,0.3623745462310485,Medium,Low
412,0.35408073990751154,Medium,Low
413,0.3435177539223782,Medium,Low
414,0.3270968764864436,Medium,Low
415,0.4753337202553685,Medium,Medium
416,0.4694192025102133,Medium,Medium
417,0.543527064105762,Medium,Medium
418,0.42464501884350375,Medium,Low
419,0.26818607555416796,Low,Low
420,0.5111162308489805,Medium,Low
421,0.4499514091350826,Medium,Medium
422,0.42861657081463683,Medium,Low
423,0.491119314620046,Medium,Low
424,0.45768244346001397,Medium,Low
425,0.4334646343551978,Medium,Low
426,0.4156359393232205,Medium,Low
427,0.39807604214383874,Medium,Low
428,0.28279819044466514,Low,Low
429,0.5359225437341841,Medium,Medium
430,0.38217915386433465,Medium,Low
431,0.44304038004750596,Medium,Low
432,0.43894065718489456,Medium,Low
433,0.5159663865546219,Medium,Medium
434,0.590440251572327,Medium,High
435,0.4871239991343865,Medium,Low
436,0.3601187876670451,Medium,Low
437,0.37547741340708546,Medium,Low
438,0.44009645949797216,Medium,Low
439,0.4210263078923677,Medium,Low
440,0.4279105628373169,Medium,Medium
441,0.3478454020435362,Medium,Low
442,0.42683996491507853,Medium,Medium
443,0.49547218628719275,Medium,Medium
444,0.284640171858217,Low,Low
445,0.35555555555555557,Medium,Low
446,0.2816753926701571,Low,Low
447,0.45769897860859515,Medium,Medium
448,0.3428007889546351,Medium,Medium
449,0.4383478436930553,Medium,Low
450,0.42932312843817266,Medium,Medium
451,0.3983931947069943,Medium,Low
452,0.490787269681742,Medium,Medium
453,0.4330455654059077,Medium,Low
454,0.29870718983896577,Low,Low
455,0.32180652854374714,Medium,Low
456,0.44482225656877905,Medium,Low
457,0.3963563333811505,Medium,Low
458,0.46637441466573676,Medium,Low
459,0.5733901850036879,Medium,Low
460,0.420235878336437,Medium,Medium
461,0.42982626106051797,Medium,Low
462,0.31423969396486634,Medium,Low
463,0.40154956561554866,Medium,Low
464,0.32679738562091504,Medium,Low
465,0.38826660751913056,Medium,Low
466,0.40161921222596203,Medium,Low
467,0.3038929574362645,Medium,Low
468,0.5503955090584333,Medium,Medium
469,0.3233644859813084,Medium,Low
470,0.420036210018105,Medium,Low
471,0.4582657335883963,Medium,Low
472,0.28766437069505324,Low,Low
473,0.4656252017300368,Medium,Low
474,0.4490137077900368,Medium,Low
475,0.5239024390243903,Medium,Low
476,0.4532627865961199,Medium,Medium
477,0.43286180631120785,Medium,Low
478,0.30414962794127504,Medium,Low
479,0.45680688139044223,Medium,Medium
480,0.4492379646802678,Medium,Low
481,0.45701357466063347,Medium,Low
482,0.42282485875706216,Medium,Low
483,0.4548704200178731,Medium,Low
484,0.3612448225680063,Medium,Low
485,0.31762351932340754,Medium,Low
486,0.4019755037534572,Medium,Low
487,0.431453272951832,Medium,Low
488,0.3080892506722872,Medium,Low
489,0.45234969808348646,Medium,Medium
490,0.36545792200175936,Medium,Low
491,0.4338740318573725,Medium,Low
492,0.5165300185136207,Medium,Medium
493,0.41560975609756096,Medium,Low
494,0.5493161774104214,Medium,High
495,0.47621863647883755,Medium,Medium
496,0.46048472075869334,Medium,Low
497,0.3758563666430428,Medium,Low
498,0.4625228519195612,Medium,Low
499,0.2598046434005792,Low,Low
500,0.5117188852345508,Medium,Medium
501,0.45245683739668446,Medium,Medium
502,0.3955144179423283,Medium,Low
503,0.40968383816051296,Medium,Medium
504,0.35710646968925114,Medium,Medium
505,0.41100917431192663,Medium,Medium
506,0.369885742297975,Medium,Medium
507,0.4306412664341293,Medium,Low
508,0.5253569670113245,Medium,Medium
509,0.6062484502851475,High,Low
510,0.43791854210121856,Medium,Low
511,0.5743615423134703,Medium,Low
512,0.34258582907231555,Medium,Medium
513,0.42340696270677675,Medium,Low
514,0.4714138993495378,Medium,Low
515,0.5079785428125212,Medium,Low
516,0.6013798390187811,High,Medium
517,0.5413478153542335,Medium,Medium
518,0.3290218270008084,Medium,Low
519,0.5467059980334317,Medium,Low
520,0.2625794634198901,Low,Low
521,0.43161870903232974,Medium,Medium
522,0.4021978021978022,Medium,Medium
523,0.4685185185185185,Medium,Low
524,0.3796347438752784,Medium,Medium
525,0.5283307810107197,Medium,Medium
526,0.5040155755658311,Medium,Medium
527,0.45930576945859497,Medium,Low
528,0.39555555555555555,Medium,Medium
529,0.4898152714031027,Medium,Low
530,0.5081429112485797,Medium,Low
531,0.467695274831244,Medium,Low
532,0.37412338652302063,Medium,Low
533,0.46519641626464503,Medium,Low
534,0.6062966829973495,High,Medium
535,0.3600062241067435,Medium,Low
536,0.3725707380928405,Medium,Low
537,0.35653050932929903,Medium,Medium
538,0.37175621570856604,Medium,Low
539,0.4522386401510944,Medium,Medium
540,0.3496235961989387,Medium,Low
541,0.5859413810233483,Medium,High
542,0.4882887495200307,Medium,Medium
543,0.4720210664911126,Medium,Medium
544,0.430068520757759,Medium,Low
545,0.42638054070644804,Medium,Medium
546,0.3898376554923044,Medium,Low
547,0.23970694458776184,Low,Low
548,0.37812089356110384,Medium,Low
549,0.47232472324723246,Medium,Low
550,0.43838889520992147,Medium,Low
551,0.5033394049787493,Medium,Medium
552,0.5022851509991935,Medium,Medium
553,0.5445723313021891,Medium,Medium
554,0.4720965309200603,Medium,Low
555,0.36403145119555724,Medium,Low
556,0.44084893009153986,Medium,Medium
557,0.43789403827010287,Medium,Medium
558,0.41746641074856045,Medium,Low
559,0.49516488966030253,Medium,Medium
560,0.46488602348606956,Medium,Medium
561,0.4506458688764319,Medium,Low
562,0.4266777133388567,Medium,Low
563,0.44204343971631205,Medium,Medium
564,0.4262988661364021,Medium,Low
565,0.37071751777634127,Medium,Medium
566,0.5638571095026851,Medium,Medium
567,0.5160349854227405,Medium,Medium
568,0.4832618025751073,Medium,Low
569,0.3892464189329458,Medium,Low
570,0.39671478347436534,Medium,Low
571,0.422205718529521,Medium,Low
572,0.6418055724540699,High,Medium
573,0.3286331589720264,Medium,Low
574,0.5171455050973123,Medium,Low
575,0.475854729280298,Medium,Low
576,0.36065880591428046,Medium,Low
577,0.2752091589608102,Low,Low
578,0.5879930034418552,Medium,Medium
579,0.3761126060856965,Medium,Low
580,0.46997618152187537,Medium,Low
581,0.33640552995391704,Medium,Low
582,0.4744904582630144,Medium,Medium
583,0.49604916593503073,Medium,Medium
584,0.40868366643694004,Medium,Low
585,0.3912714620679222,Medium,Low
586,0.3465916700147314,Medium,Low
587,0.5933209647495362,Medium,Medium
588,0.36810592976396084,Medium,Low
589,0.48223951285520966,Medium,Low
590,0.5061946902654867,Medium,Medium
591,0.4300179390073749,Medium,Low
592,0.472,Medium,Low
593,0.5473411670981877,Medium,Medium
594,0.44604141291108407,Medium,Low
595,0.3008344312692139,Medium,Low
596,0.5106842737094838,Medium,Low
597,0.5650180659699289,Medium,Low
598,0.5346408262736452,Medium,Low
599,-0.23576722914366813,Low,Medium
600,0.5095986038394416,Medium,Medium
601,0.4711811837684156,Medium,Low
602,0.41981017279143346,Medium,Low
603,0.3315517143344516,Medium,Low
604,0.4565977742448331,Medium,Low
605,0.425035030359645,Medium,Low
606,0.3904678618277219,Medium,Medium
607,0.29880843263061413,Low,Low
608,0.41368078175895767,Medium,Medium
609,0.45591049609892537,Medium,Low
610,0.5008958280010238,Medium,Low
611,0.48074534161490684,Medium,Medium
612,0.4446064139941691,Medium,Medium
613,0.6844675655589766,High,Medium
614,0.4602409638554216,Medium,Low
615,0.3663916447249854,Medium,Low
616,0.5473196558570483,Medium,Low
617,0.592744086786413,Medium,High
618,0.4249751573368666,Medium,Low
619,0.4487747957992999,Medium,Low
620,0.46561108362196935,Medium,Low
621,0.4946427728567159,Medium,Low
622,0.5675426463808206,Medium,Medium
623,0.25033229951262737,Low,Medium
624,0.46911260912808045,Medium,Medium
625,0.3039404794709286,Medium,Low
626,0.46771749014852976,Medium,Medium
627,0.5418886198547216,Medium,Medium
628,0.41543026706231456,Medium,Low
629,0.37765162832387206,Medium,Low
630,0.36847767616998384,Medium,Medium
631,0.5339888841385207,Medium,Low
632,0.526137645731478,Medium,Low
633,0.3388447048974466,Medium,Low
634,0.4670714619336759,Medium,Low
635,0.6805740100983259,High,Medium
636,0.38508229251780085,Medium,Low
637,0.3955179858661413,Medium,Low
638,0.4716106604866744,Medium,Medium
639,0.5239599789362822,Medium,High
640,0.4616840113528855,Medium,Low
641,0.6242227629088943,High,Medium
642,0.6505690098077092,High,Medium
643,0.4080234833659491,Medium,Low
644,0.3474698795180723,Medium,Medium
645,0.4542064786762992,Medium,Low
646,0.6610644257703081,High,Medium
647,0.3245571409639087,Medium,Low
648,0.5062543653565306,Medium,Low
649,0.27549824150058616,Low,Low
650,0.3192023507260434,Medium,Low
651,0.4720975722011276,Medium,Low
652,0.4141749723145072,Medium,Medium
653,0.4488713831237691,Medium,Low
654,0.4637832810138356,Medium,Low
655,0.46156941649899397,Medium,Medium
656,0.49685850716260366,Medium,Medium
657,0.45075921908893707,Medium,Low
658,0.3476983349657199,Medium,Low
659,0.5350125944584383,Medium,Medium
660,0.41464742717124964,Medium,Medium
661,0.44535579694081134,Medium,Low
662,0.5365784409602826,Medium,Medium
663,0.36489659874251956,Medium,Medium
664,0.3844137690022716,Medium,Medium
665,0.5011977641735427,Medium,Medium
666,0.27263818710764043,Low,Low
667,0.48498951567534393,Medium,Low
668,0.4780327868852459,Medium,Low
669,0.5127725856697819,Medium,Medium
670,0.4057446604117967,Medium,Low
671,0.5052344105598543,Medium,Medium
672,0.3917228103946102,Medium,Medium
673,0.39476730724704795,Medium,Low
674,0.41362763915547024,Medium,Low
675,0.44242944521944416,Medium,Low
676,0.22391968572675688,Low,Low
677,0.48770088553624147,Medium,Medium
678,0.218612818261633,Low,Low
679,0.42725418920117025,Medium,Medium
680,0.602158273381295,High,Medium
681,0.3822992700729927,Medium,Low
682,0.451356436244462,Medium,Low
683,0.48905227437989823,Medium,Medium
684,0.5584667637069384,Medium,High
685,0.46057257659467604,Medium,Low
686,0.37991013190317435,Medium,Low
687,0.2545531554426091,Low,Low
688,0.4054054054054054,Medium,Low
689,0.4015922158337019,Medium,Low
690,0.40478448730108546,Medium,Low
691,0.6969959874200196,High,High
692,0.5316216043736305,Medium,High
693,0.5717810677433827,Medium,Medium
694,0.46228597871355853,Medium,Medium
695,0.4126778783958603,Medium,Low
696,0.4429561200923788,Medium,Low
697,0.4094488188976378,Medium,Low
698,0.5376591230551626,Medium,Medium
699,0.39797021588253767,Medium,Medium
700,0.48722316865417375,Medium,Medium
701,0.5660490137477585,Medium,Medium
702,0.3649890508899662,Medium,Low
703,0.4839797639123103,Medium,Low
704,0.3795093795093795,Medium,Low
705,0.3508123441932433,Medium,Medium
706,0.2934893762072492,Low,Low
707,0.4882556796303427,Medium,Low
708,0.2874436268692143,Low,Low
709,0.40212834569493716,Medium,Low
710,0.3389085892020768,Medium,Low
711,0.2796934865900383,Low,Low
712,0.6540457004084336,High,Medium
713,0.5195822454308094,Medium,Low
714,0.516874833909115,Medium,Medium
715,0.5376070354084702,Medium,Medium
716,0.3820065944418276,Medium,Low
717,0.6236598000240935,High,High
718,0.36038100372916393,Medium,Low
719,0.46444644464446444,Medium,Low
720,0.5005371851498149,Medium,Medium
721,0.2687969243045229,Low,Low
722,0.3375065704592154,Medium,Low
723,0.3837559088955737,Medium,Medium
724,0.39761167624944715,Medium,Low
725,0.4387432901799811,Medium,Low
726,0.760992961477333,High,High
727,0.5935921133703019,Medium,Low
728,0.4024672613399126,Medium,Low
729,0.543302275851535,Medium,Medium
730,0.43515909207357684,Medium,Low
731,0.06853905131993815,Low,Low
732,0.5060707960058526,Medium,Low
733,0.46698450536352804,Medium,Low
734,0.7151724961203295,High,Medium
735,0.49739406299569455,Medium,Low
736,0.4021041827046446,Medium,Low
737,0.3732142857142857,Medium,Low
738,0.46430116832540025,Medium,Medium
739,0.4604183214191157,Medium,Medium
740,0.42892321468547123,Medium,Low
741,0.42853754003083855,Medium,Low
742,0.5304921540656206,Medium,Medium
743,0.4283913538404152,Medium,Medium
744,0.3433794844335653,Medium,Low
745,0.3695336787564767,Medium,Low
746,0.3544723142451491,Medium,Medium
747,0.23407611910865708,Low,Low
748,0.35446939674152356,Medium,Low
749,0.34492642843493215,Medium,Low
750,0.4431457485342992,Medium,Medium
751,0.3034323939028402,Medium,Low
752,0.32870048644892286,Medium,Low
753,0.32811276429130776,Medium,Medium
754,0.4479013177282869,Medium,Low
755,0.5307131089668157,Medium,Medium
756,0.3736406177911549,Medium,Medium
757,0.3272830402722632,Medium,Low
758,0.054353419092755664,Low,Low
759,0.40613496932515336,Medium,Medium
760,0.576122277048983,Medium,High
761,0.5787574117040475,Medium,Medium
762,0.3256812739918665,Medium,Low
763,0.4812532100667694,Medium,Medium
764,0.045904900425604335,Low,Low
765,0.34250465962545484,Medium,Low
766,0.538830297219559,Medium,Medium
767,0.7616469120399252,High,High
768,0.4220552369652626,Medium,Medium
769,0.4499572284003422,Medium,Low
770,0.42549974802620527,Medium,Medium
771,0.49263205622307865,Medium,Low
